File,New_File,Date,Exp_ID,Exp_Num,Cultivar,Sample_Num,Leaf_Num,Leaf_Area,Pixel_cm_ratio,QR_detected,QR_count,Flagged,Date_Analyzed
2025_12_11_GH34_CAB_004.jpg,2025-12-11_GH34_CAB_004.jpg,2025-12-11,GH,34,CAB,4,13,1286.75,49.7134,FALSE,0,FALSE,2026-02-23 17:49:27
2025_12_11_GH34_CAB_031.jpg,2025-12-11_GH34_CAB_031.jpg,2025-12-11,GH,34,CAB,31,14,1967.952,41.0553,FALSE,0,FALSE,2026-02-23 17:49:48
2025_12_11_GH34_CAB_065.jpg,2025-12-11_GH34_CAB_065.jpg,2025-12-11,GH,34,CAB,65,15,1609.235,46.4219,FALSE,0,FALSE,2026-02-23 17:50:11
2025_12_11_GH34_CAB_083.jpg,2025-12-11_GH34_CAB_083.jpg,2025-12-11,GH,34,CAB,83,13,2003.938,49.5857,FALSE,0,FALSE,2026-02-23 17:50:28
2025_12_11_GH34_FLB_027.jpg,2025-12-11_GH34_FLB_027.jpg,2025-12-11,GH,34,FLB,27,15,2729.01,38.0704,FALSE,0,FALSE,2026-02-23 17:51:14
2025_12_11_GH34_FLB_034.jpg,2025-12-11_GH34_FLB_034.jpg,2025-12-11,GH,34,FLB,34,13,1274.142,46.3175,FALSE,0,FALSE,2026-02-23 17:51:49
2025_12_11_GH34_FLB_051.jpg,2025-12-11_GH34_FLB_051.jpg,2025-12-11,GH,34,FLB,51,18,2271.306,41.1176,FALSE,0,FALSE,2026-02-23 17:52:15
2025_12_11_GH34_FLB_100.jpg,2025-12-11_GH34_FLB_100.jpg,2025-12-11,GH,34,FLB,100,14,2635.552,39.1502,FALSE,0,FALSE,2026-02-23 17:52:37
2025_12_11_GH34_SGC_047.jpg,2025-12-11_GH34_SGC_047.jpg,2025-12-11,GH,34,SGC,47,18,1554.966,45.5373,FALSE,0,FALSE,2026-02-23 17:52:56
2025_12_11_GH34_SGC_062.jpg,2025-12-11_GH34_SGC_062.jpg,2025-12-11,GH,34,SGC,62,18,1872.619,46.1413,FALSE,0,FALSE,2026-02-23 17:53:14
2025_12_11_GH34_SGC_092.jpg,2025-12-11_GH34_SGC_092.jpg,2025-12-11,GH,34,SGC,92,15,1280.788,49.3852,FALSE,0,FALSE,2026-02-23 17:53:30
2025_12_11_GH34_SGC_115.jpg,2025-12-11_GH34_SGC_115.jpg,2025-12-11,GH,34,SGC,115,16,1509.064,48.642,FALSE,0,FALSE,2026-02-23 17:53:47